type,name,description
버플 3호,rare,버튼 부분의 표식이 닳아 지워졌다. 지구 21세기에 사용된 모델로: 내장된 배터리의 내구성이 약해 쉽게 발열된다. 우주 쓰레기장으로 옮겨지다가 행성 SA에 우연히 떨어졌다. 배터리 부분이 빠져있다. 
미닛,rare,장미꽃으로 보이는 피사체들이 나무 표면을 따라 작게 조각돼있다. 지구 19세기에 사용된 모델로: 더이상 시침이 움직이지 않는다. 우주 비행사의 부적으로: 우주 비행사와 함께 행성 SA에 착륙했다. 자꾸 틀린 시간을 알려준다.  
클리너 21,rare,발통 부분에 약한 초음파가 흘러 나오는 센서가 있고: 덩굴식물이 몸을 감고 있다. 지구 20세기에 지뢰 제거를 위해 쓰였던 로봇으로 보인다. 행성 SA 박물관에 전시되어 있던 로봇이다. 전쟁이 필요한 이유를 종종 묻는다. 강한 빛을 보면 3분간 작동을 멈춘다. 
오-보이,rare,녹음을 들려줄 때마다 끼릭거리는 소리가 난다. 저장되어 있는 녹음본을 반복적으로 들려주어: 대화가 불가능하다. 행성 SA를 찾아온 이유는 알 수 없다. 테이프가 많이 늘어져 있다. 
다프네의 초상,rare,도톰한 유화 그림으로: 얇은 붓을 사용한 듯 하다. 더이상 실물 진품이 필요 없게 되며 버려졌다. 우주선에서 쓰레기로 버려지며 행성 SA에 떨어졌다. 유화의 색이 많이 바랜 듯 하다. 
제인 9,epic,지구인의 정신 체계를 연결할 수 있는 입력장치가 이마 부분에 초록색으로 반짝인다. 지구인의 정신을 백업하기 위한 정신 백업용 휴머노이드로: 000라는 지구인의 모든 기억과 정서: 인지 능력을 갖고 있다. 저장 우주선의 사고로: 우주를 떠돌다 빛을 따라 행성 SA에 찾아왔다. 제인은 굉장히 행복한 지구인이었던 것 같다. 
C7,epic,회색의 가벼운 고분자물질 재료로 만들어졌고: 접합 부위가 파란색으로 빛난다. 지구인들이 스포츠 경기를 즐기기 위해 만든 야구 7번 왼손 타자 휴머노이드으로 보인다. 매니악한 누군가의 진열장에서 탈출하여: 행성 SA에 찾아왔다. 왼쪽 어깨와 팔의 재료는 고친 듯: 연식이 달라 보인다. 
이영,epic,노란색 우주복을 입고 있고 눈이 유난히 반짝인다. 우주선이 오작동해 조난당한 듯 하다. 우연히 행성 SA의 빛을 보고 찾아왔다. 똑같은 우주복을 입은 누군가의 사진을 1시간에 한 번 확인한다. 지구인이었던 할머니가 떠나온 지구를 찾고 있다. 
"상점 주인 (맥스, 토비, 로비,,,?) ",extra,어디선가 날아온 괴짜 기계공. 우주를 떠돌며 주운 부품들로 새로운 것들을 만들어낸다. 행성 SA에 어떻게 오게 되었는지는 미지수. 자신이 만든 물건들을 팔며: 꽤나 실력이 좋다. 어쩐지 그의 물건들은 낯이 익다. 
개발자 3 (채연) 젠다,extra,"한쪽 눈에만 단안경을 차고 있다. 자주 ""개발 회의 어젠다는! 젠다는!"" 라고 말한다.눈이 마주치면, ""과제했어?""라며 부리로 세게 쫀다. 눈을 마주치지 않는 것이 좋다. "
개발자 2 (성윤) 맛또,extra,봉제 토마토 인형.  푹신푹신한 솜이 가득 차있지만 외형은 낡아보인다. 배에 들어 있는 녹음기 버튼을 누르면 '귀찮아!'라는 말을 반복한다. 말을 하면서 팔다리를 마구 흔들고: 손에 들려있는 연필로 온갖 곳에 낙서한다. 종이부터 얼굴까지 가리지 않고 낙서하기 때문에 가까이 가지 않는 것을 추천한다.
개발자 1 (채문),extra,거북이. 코딩을 너무 많이 하느라 거북목을 가지고 있다.  코딩이 끝나면 멀리 바닷가로 휴가를 가는 것이 소원이다. 항상 한 손에는 커피를 들고 있다. 
